Titelname	Interpret	Album	Genre	Dauer	Titelnummer	Jahr
Semblance Suite: Part II	Esbjoern Svensson Trio	Winter in Venice	Jazz	223	5	1999
Semblance Suite: Part III	Esbjoern Svensson Trio	Winter in Venice	Jazz	230	6	1999
Semblance Suite: Part IV	Esbjoern Svensson Trio	Winter in Venice	Jazz	361	7	1999
Serenade For The Renegade	Esbjoern Svensson Trio	Strange Place For Snow	Jazz	266	2	2002
Serenity	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	110	3	2000
Set Them Free	Caecilie Norby	My Corner Of The Sky	Jazz	267	3	1996
Seven Days Of Falling	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	386	2	2003
Seven Steps	Cassandra Wilson	Traveling Miles	Jazz	404	6	1999
Shame On You	Silje Nergaard	Port Of Call	Jazz	284	9	2000
Shining On You	Viktoria Tolstoy	Shining On You	Jazz	245	2	2004
silly walk	Esbjoern Svensson Trio	When Everyone Has Gone	Jazz	334	9	1998
Sipping On The Solid Ground	Esbjoern Svensson Trio	Tuesday Wonderland	Jazz	276	10	2006
